Category,Product Name,Location,Price,Overall Rating,Number Sold,Customer Rating,Customer Review,clean_review,Sentiment,sentiment_label,Emotion,emotion_label
Computers and Laptops,Adaptor Charger OriginaL Laptop Asus X441 X441U X441UV X441UA X441S,Jakarta Barat,113777,4.9,1630,5,"Pengiriman super cepat, barang bagus, recommended seller, thanks",kirim super cepat barang bagus recommended jual terima kasih,Positive,1,Happy,0
Computers and Laptops,Adaptor Charger Laptop Asus A455LA A455LD A455LB A455 A455L Original,Jakarta Utara,66000,4.8,2702,5,alhamdulillah barangnya udah nyampe... d coba bagus... semoga awet... terima kasih seller kurir dan tokopedia...,alhamdulillah barang nyampe coba bagus moga awet terima kasih jual kurir tokopedia,Positive,1,Happy,0
Computers and Laptops,Kabel Power Adaptor Charger Laptop 3 Lubang,Jakarta Pusat,25000,4.9,2122,5,"Penjual amanah, responsif. Kabel berfungsi baik. Pengiriman cepat. Terima kasih.",jual amanah responsif kabel fungsi kirim cepat terima kasih,Positive,1,Happy,0
Computers and Laptops,Charger Adaptor Laptop Acer Aspire E14 E5-421 E5-431 E5-471 E5-475G,Jakarta Pusat,55000,4.9,2010,5,"Alhamdulillah barang sudah sampai, bisa dipakai semoga berfungsi dengan baik dan awet, kurirnya baik smoga rezekinya lancar terus",alhamdulillah barang pakai moga fungsi awet kurir smoga rezeki lancar,Positive,1,Happy,0
Computers and Laptops,Cooling Pad Laptop Gaming 6 Fan Kipas Pendingin Laptop Kipas Cooler Q3,Kota Bandung,127880,4.9,1257,5,bagus. berjalan baik dan cukup silent. kokoh dan muat untuk laptop 16 inch,bagus jalan silent kokoh muat laptop inch,Positive,1,Happy,0
Computers and Laptops,Cooling Pad Laptop Gaming 6 Fan Kipas Pendingin Laptop Kipas Cooler Q3,Kota Bandung,127880,4.9,1257,5,"Packing aman, pengiriman cepat dan barang berfungsi dengan baik",kemas aman kirim cepat barang fungsi,Positive,1,Happy,0
Computers and Laptops,"kipas laptop cooling pad Ace cooling ergostand 15,6inch 1 fan",Jakarta Utara,80000,4.8,3982,5,Produknya baik dan kualitasny good banget. produk sampai ke konsumen dalam kondisi baik. sesuai sih sama harga juga so overall very good lah ??,produk kualitasny good banget produk konsumen kondisi sesuai harga so overall very good,Positive,1,Happy,0
Computers and Laptops,"kipas laptop cooling pad Ace cooling ergostand 15,6inch 1 fan",Jakarta Utara,80000,4.8,3982,5,barang udah sampai ya gan dan berfungsi. terima kasih,barang gan fungsi terima kasih,Positive,1,Happy,0
Computers and Laptops,CoolCold Laptop Vacuum Vacum Cooler Cooling Pad Hisap Panas Notebook,Kota Depok,55000,4.8,13900,5,barang mantap sesuai deskripsi laptop jadi adem n sejuk,barang mantap sesuai deskripsi laptop adem sejuk,Positive,1,Happy,0
Computers and Laptops,CoolCold Laptop Vacuum Vacum Cooler Cooling Pad Hisap Panas Notebook,Kota Depok,55000,4.8,13900,5,"produk saya terima dengan kondisi baik, terima kasih ^^",produk terima kondisi terima kasih,Positive,1,Happy,0
Computers and Laptops,CoolCold Laptop Vacuum Vacum Cooler Cooling Pad Hisap Panas Notebook,Kota Depok,55000,4.8,13900,5,"belanja kedua kalinya, selalu puas. pengiriman lumayan cepat. overall bagus banget",belanja kali puas kirim lumayan cepat overall bagus banget,Positive,1,Happy,0
Computers and Laptops,CoolCold Laptop Vacuum Vacum Cooler Cooling Pad Hisap Panas Notebook,Kota Depok,55000,4.8,13900,5,"Kualitas barang bagus, harga relatif murah, kiriman super cepat, response penjual baik, recommended seller, bintang 5, terima kasih yah, semoga SUKSES usaha-nya, aamiin ??????.",kualitas barang bagus harga relatif murah kirim super cepat response jual recommended jual bintang terima kasih yah moga sukses usaha aamiin,Positive,1,Happy,0
Computers and Laptops,Cooling Pad Gaming Ergostand Kipas Pendingin Laptop Big Fan Cooler Pad - KIPAS ERGOSTAND,Jakarta Barat,74900,4.7,3713,5,mantab barang nya oke punya,mantab barang,Positive,1,Happy,0
Computers and Laptops,Cooler Master Notepal CMC3 Silent Fan Laptop Cooling Pad,Jakarta Barat,112000,4.9,5988,5,"pengiriman cepat, packing rapi, kualitas mantap",kirim cepat kemas rapi kualitas mantap,Positive,1,Happy,0
Computers and Laptops,Cooler Master Notepal CMC3 Silent Fan Laptop Cooling Pad,Jakarta Barat,112000,4.9,5988,5,silent dan bagus untuk pekerjaan ringan,silent bagus kerja ringan,Positive,1,Happy,0
Computers and Laptops,Cooler Master Notepal CMC3 Silent Fan Laptop Cooling Pad,Jakarta Barat,112000,4.9,5988,5,Barang cepat sampai. Kualitas bagus dan pengiriman aman tidak ada yang pecah. Manstapu ??????,barang cepat kualitas bagus kirim aman pecah manstapu,Positive,1,Happy,0
Computers and Laptops,Cooler Master Notepal CMC3 Silent Fan Laptop Cooling Pad,Jakarta Barat,112000,4.9,5988,5,"Bagus, berkualitas, sesuai gbr. Makasih Seller, Tokped dan Kurir",bagus kualitas sesuai gbr terima kasih jual tokped kurir,Positive,1,Happy,0
Computers and Laptops,"cooling pad laptop tahan 24 jam 6.000 Rpm angin TOPAN - Gambar no 1, Bening",Kota Surabaya,385000,5.0,2716,5,"mantap kipasnya kenceng, barangnya berkualitas sesuai sama harga",mantap kipas kenceng barang kualitas sesuai harga,Positive,1,Happy,0
Computers and Laptops,"cooling pad laptop tahan 24 jam 6.000 Rpm angin TOPAN - Gambar no 1, Bening",Kota Surabaya,385000,5.0,2716,5,mantap proses pengerjaan dan pengiriman juga barang sesuai dengan deskripsi,mantap proses kerja kirim barang sesuai deskripsi,Positive,1,Happy,0
Computers and Laptops,"cooling pad laptop tahan 24 jam 6.000 Rpm angin TOPAN - Gambar no 1, Bening",Kota Surabaya,385000,5.0,2716,5,Penjualnya Ramah Melayani Pembeli Dengan Sabar dan Memberikan Berbagai Saran Yang Pembeli Tidak Tahu ... Mantap Lah ??????,jual ramah layan beli sabar saran beli mantap,Positive,1,Happy,0
Computers and Laptops,"cooling pad laptop tahan 24 jam 6.000 Rpm angin TOPAN - Gambar no 1, Bening",Kota Surabaya,385000,5.0,2716,5,"barang sampai dengan cepat, packingnya rapi dan amat sekali, tidak ada bagian acrylic yang pecah. berfungsi dengan baik. semoga awet.",barang cepat packingnya rapi acrylic pecah fungsi moga awet,Positive,1,Happy,0
Computers and Laptops,MacBook Skin Keyboard Protector TRANSPARANT BENING - A2141 A2289,Jakarta Utara,15000,4.9,690,5,Sangat presisi dan pas,presisi pas,Positive,1,Happy,0
Computers and Laptops,MacBook Skin Keyboard Protector TRANSPARANT BENING - A2141 A2289,Jakarta Utara,15000,4.9,690,5,"Puas banget, seller helpfull, sangat responsif dan cepet banget sampai nya, recomended...",puas banget jual helpfull responsif cepet banget recomended,Positive,1,Happy,0
Computers and Laptops,MacBook Skin Keyboard Protector TRANSPARANT BENING - A2141 A2289,Jakarta Utara,15000,4.9,690,5,"Mantappp, responnya juga memuaskan. sudah dicoba dan dipasang presisi dan nyaman. CAs Juga responsif",mantapp responnya muas coba pasang presisi nyaman cas responsif,Positive,1,Happy,0
Computers and Laptops,"Logitech Bluetooth Keyboard K380 , K 380 , K-380 - Hitam",Jakarta Barat,365000,5.0,2554,5,Mantap barangnya cepet sampai dan enak digunainnya!,mantap barang cepet digunainnya,Positive,1,Happy,0
Computers and Laptops,"Logitech Bluetooth Keyboard K380 , K 380 , K-380 - Hitam",Jakarta Barat,365000,5.0,2554,5,"Barang bagus,oke, cepat pengirimannya juga",barang bagus cepat kirim,Positive,1,Happy,0
Computers and Laptops,"Logitech Bluetooth Keyboard K380 , K 380 , K-380 - Hitam",Jakarta Barat,365000,5.0,2554,5,"Pengiriman cepat, seller responsif ??",kirim cepat jual responsif,Positive,1,Happy,0
Computers and Laptops,Wireless Keyboard i8 Mini TouchPad Mouse 2.4G Handheld PC Android TV,Jakarta Utara,53500,4.9,5449,5,Barang berfungsi baik. Pemilik toko sangat responsif dan membantu saat ada sedikit kendala. Sukses tokonya ya gan ??????,barang fungsi milik toko responsif bantu kendala sukses toko gan,Positive,1,Happy,0
Computers and Laptops,Wireless Keyboard i8 Mini TouchPad Mouse 2.4G Handheld PC Android TV,Jakarta Utara,53500,4.9,5449,5,"seller luar biasa.. packing baik, pengiriman cepat, penting nya barang sesuai deskripsi dan berfungsi. terima kasih..",jual kemas kirim cepat barang sesuai deskripsi fungsi terima kasih,Positive,1,Happy,0
Computers and Laptops,Logitech M191 Mouse Wireless Full Size - Mid Grey,Jakarta Timur,119000,4.9,9777,1,Sangat kecewa. Baru 4 bulan scroll sudah rusak.,kecewa scroll rusak,Negative,0,Sadness,1
Computers and Laptops,Adaptor Charger OriginaL Laptop Asus X441 X441U X441UV X441UA X441S,Jakarta Barat,113777,4.9,1630,1,"jelek, yg pasti jauh dari ori. mousepad jd ga bs dipakai kl di charger, jd getar parah. barang ga sesui foto, kayak barang lapak sebelah yg harga 80rban. padahal sebelumnya pernah beli disini dan bagus,persis spt foto yg ada indikator di ujung charger. makanya order disini lg walaupun sedikit mahal ternyata barangnya tdk sama dgn order sebelumnya",buruk original mousepad jd pakai kl charger jd getar parah barang sesui foto kayak barang lapak belah harga rban beli bagus persis spt foto indikator ujung charger order lg mahal barang order,Negative,0,Sadness,1
Computers and Laptops,Kabel Power Adaptor Charger Laptop 3 Lubang,Jakarta Pusat,25000,4.9,2122,1,gak bisa di pakai??,pakai,Negative,0,Sadness,1
Computers and Laptops,Cooler Master Notepal CMC3 Silent Fan Laptop Cooling Pad,Jakarta Barat,112000,4.9,5988,1,Kecewa parah nggk berkah jualan gitu,kecewa parah nggk berkah jual gitu,Negative,0,Sadness,1
Computers and Laptops,"CASE MACBOOK Clear Bening AIR PRO RETINA TOUCHBAR 11 12 13 15 INCH - AIR 13 A1466, LOGO HOLE",Kota Bandung,90000,4.9,5182,1,kecewa penjual ga tanggung jawab komplen berhari� gada solusi,kecewa jual tanggung komplen hari gada solusi,Negative,0,Sadness,1
Computers and Laptops,"CASE MACBOOK Clear Bening AIR PRO RETINA TOUCHBAR 11 12 13 15 INCH - AIR 13 A1466, LOGO HOLE",Kota Bandung,90000,4.9,5182,1,"pas beli nanya dulu tipe untuk macbook pro 13inch M1 yang mana di variasi nya, kata penjualnya yang �new pro 13�. pas dateng casing kekecilan karena salah tipe ternyata. dan penjual pake banyak alesan gamau tanggung jawab padahal yang salah ya yg ngejual. kecewa gamau lagi beli disini ga tanggung jawab.",pas beli nanya tipe macbook pro inch variasi jual new pro pas dateng casing kecil salah tipe jual pakai alesan gamau tanggung salah ngejual kecewa gamau beli tanggung,Negative,0,Sadness,1
Computers and Laptops,CASE MACBOOK Case MATTE BLACK AIR PRO RETINA TOUCHBAR 11 12 13 15 INCH - NEW AIR A2337M1,Kota Bandung,99000,4.9,1848,1,Barang sampai terlalu lama padahal masih dalam kota. Casing mudah lepas. Jujur mengecewakan.,barang kota casing mudah lepas jujur kecewa,Negative,0,Sadness,1
Computers and Laptops,Screen Guard (Protector) Anti Gores MacBook - A2141,Jakarta Utara,50000,4.8,2967,1,"kecewa belanja di tempat kamu, lain di pesan lain dikirim ??????",kecewa belanja pesan kirim,Negative,0,Sadness,1
Computers and Laptops,Screen Guard (Protector) Anti Gores MacBook - A2141,Jakarta Utara,50000,4.8,2967,1,"Tidak ada tissue pembersih, atau alat bantuan lainnya untuk memasang. sangat kecewa",tissue bersih alat bantu pasang kecewa,Negative,0,Sadness,1
Computers and Laptops,SanDisk Extreme Pro SDXC UHS-I Card 64GB 170MB/s,Jakarta Pusat,279000,5.0,3111,1,"salah beli barang, tp toko tidak ada kompromi sama sekali. Padahal barang masih disegel, kecewa dehhh..",salah beli barang toko kompromi barang segel kecewa dehh,Negative,0,Sadness,1
Computers and Laptops,SanDisk Extreme SDHC UHS-I Card 32GB,Jakarta Pusat,119000,5.0,2215,1,Data sering error dan hilang ??,data error hilang,Negative,0,Sadness,1
Computers and Laptops,Logitech MK275 Wireless Keyboard Mouse Combo,Jakarta Timur,200000,4.9,3225,1,"kecewa sama toko official ini ga tau kenapa pesenan pertama ga dikonfirmasi sampe di batalin sistem karena ga direspon sama sekali. pesanan kedua karena disuruh pesan lagi sama tokonya dan cuma dikonfirmasi doang ga dikirim sampe udah tinggal 10 menit sebelum dibatalin sistem lagi tapi untungnya gara chat cs tokopedia akhirnya barang bakalan dikirim didetik terakhir. ga cuma sampe situ aja payahnya barang baru diambil kurir tanggal 5 dan pickup barang sama kurir lebih dari 2 hari, proses kirim pun lemot muter padahal udah lewat depan rumah baru tanggal 9 jam 9 malem paketnya sampe??",kecewa toko official tau sen konfirmasi sampe batalin sistem direspon pesan suruh pesan toko konfirmasi kirim sampe tinggal menit dibatalin sistem untung gara chat cs tokopedia barang kirim detik sampe situ payah barang ambil kurir tanggal pickup barang kurir proses kirim lot muter rumah tanggal jam malem paket sampe,Negative,0,Sadness,1
Computers and Laptops,Xiaomi Xiaovv Webcam 1080P USB Camera Full HD with Mic Webcast Live,Jakarta Barat,188000,4.9,3451,1,"Packing seadanya, bubble hanya selapis saja ditambah lapisan plastik, hasilnya barang diterima dalam keadaan patah.",kemas ada bubble selap tambah lapis plastik hasil barang terima patah,Negative,0,Sadness,1
Computers and Laptops,Xiaomi Xiaovv Webcam 1080P USB Camera Full HD with Mic Webcast Live,Jakarta Barat,188000,4.9,3451,1,Mic dari awal ga nyala,mic nyala,Negative,0,Sadness,1
Computers and Laptops,SanDisk Ultra MicroSD 32GB A1 microSDHC UHS-I micro sd - No Adapter,Jakarta Pusat,75900,4.9,6754,1,"KARTU SD NYA CUMA 29,71 GB, KATANYA OFFICIAL, TAPI MALAH MKSOFFICIAL. KECEWA, INI TIDAK ORIGINAL.",kartu sd gb official mksofficial kecewa original,Negative,0,Sadness,1
Computers and Laptops,SSD 128GB RX7 GARANSI RESMI 3THN,Kota Tangerang,210000,5.0,15400,1,Kecepatan tdk sesuai dgn deskripsi,cepat sesuai deskripsi,Negative,0,Sadness,1
Computers and Laptops,Mouse Wireless Komic KM-803 - 1200DPI Nano USB Free Battery - Hijau,Jakarta Utara,90000,4.8,4563,1,tidak berfugsi,berfugsi,Negative,0,Sadness,1
Computers and Laptops,Mouse Wireless Komic KM-803 - 1200DPI Nano USB Free Battery - Hijau,Jakarta Utara,90000,4.8,4563,1,"Mouse kurang bagus , Pointer nya gerak gerak sendiri .",mouse bagus pointer gerak gerak,Negative,0,Sadness,1
Computers and Laptops,Mouse Wireless Komic KM-803 - 1200DPI Nano USB Free Battery - Hijau,Jakarta Utara,90000,4.8,4563,1,infra red nya jelek suka mental ke mana2,infra red buruk suka mental,Negative,0,Sadness,1
Computers and Laptops,Mouse Wireless Komic KM-803 - 1200DPI Nano USB Free Battery - Hijau,Jakarta Utara,90000,4.8,4563,1,Batre tidak sesuai ukuran dan tidak ada nano receiver.,batre sesuai ukur nano receiver,Negative,0,Sadness,1
Computers and Laptops,Mouse Wireless Komic KM-803 - 1200DPI Nano USB Free Battery - Hijau,Jakarta Utara,90000,4.8,4563,1,boros batre,boros batre,Negative,0,Sadness,1
Computers and Laptops,HTB-3100 25km single fiber mode transceiver Optical Media Converter,Jakarta Utara,150000,4.9,5384,1,barang error 1,barang error,Negative,0,Sadness,1
Computers and Laptops,Telkomsel Orbit Star 2,Kota Tangerang,629000,4.8,5998,1,"jaringanya ngelek banget lelet mending pake indihome de, nyesel juga beli orbit jaringan ya parah,",jaringanya ngelek banget lelet mending pakai indihome de nyesel beli orbit jaring parah,Negative,0,Sadness,1
Computers and Laptops,Telkomsel Orbit Star 2,Kota Tangerang,629000,4.8,5998,1,tdk sesuai ekspektasi,sesuai ekspektasi,Negative,0,Sadness,1
Computers and Laptops,Telkomsel Orbit Star 2,Kota Tangerang,629000,4.8,5998,1,lambat,lambat,Negative,0,Sadness,1
Computers and Laptops,Telkomsel Orbit Star 2,Kota Tangerang,629000,4.8,5998,1,Katanya dapat paket 150 GB ternyata setelah di regiatrasi cm 300 mB..,paket gb regiatrasi sentimeter mb,Negative,0,Sadness,1
Computers and Laptops,Telkomsel Orbit Star 2,Kota Tangerang,629000,4.8,5998,1,"tidak bisa di register call center Dan team orbin tidak helpful, untuk sekedar minta info gerai orbin yang buka Dan no Telp suruh cari di google bukannya tidak mau Cari rata2 nomor telp tidak bisa di hubungin jadi apa salahnya memberikan info yang valid menyesal Saya beli orbit call center Dan team orbin tidak helpful, untuk sekedar minta info gerai orbin yang buka Dan no Telp suruh cari di google bukannya tidak mau Cari rata2 nomor telp tidak bisa di hubungin jadi apa salahnya memberikan info yang valid menyesal Saya beli orbit",register call center team orbin helpful dar info gerai orbin buka no telp suruh cari google cari nomor telp hubungin salah info valid sesal beli orbit call center team orbin helpful dar info gerai orbin buka no telp suruh cari google cari nomor telp hubungin salah info valid sesal beli orbit,Negative,0,Sadness,1
Computers and Laptops,Telkomsel Orbit Star 2,Kota Tangerang,629000,4.8,5998,1,Tidak sesuai,sesuai,Negative,0,Sadness,1
Computers and Laptops,SSD 256GB RX7 SATA,Kota Tangerang,370000,5.0,6449,1,"janji bisa kirim instant segera karena kita mau pakai segera, nyatanya anda tutup toko baru di kirim. paket sampai malam. pas besoknya di coba ternyata SSD nya tidak terbaca. dan bilangnya kirim ke toko agarnbisa di kirim lagi segera yang baru. sama2 di Tangerang ongkos gojek instant 33rb berarti dekat. dan tidak di kirim2 sampaiiii 2 minggu baru di kirim. sangat terlihat sengaja sekali di lama2in. sangat tidak professional dalam berjualan online , anda jual barang rusak pun tidak ada etikat ucapan maaf. dan sebagai penutup yang saya anggap licik dan pelit sekali ongkir nya di suruh kita yang tanggung pas barang sampai. kalau di lihat begini mah lupakan garansi produk yg bakal di ganti baru bila terjadi rusak di kemudian hari...",janji kirim instant pakai tutup toko kirim paket malam pas besok coba ssd baca bilang kirim toko agarnbisa kirim tangerang ongkos gojek instant ribu kirim sampai minggu kirim sengaja in professional jual online jual barang rusak etikat ucap maaf tutup anggap licik pelit ongkos kirim suruh tanggung pas barang mah lupa garansi produk ganti rusak,Negative,0,Sadness,1
Computers and Laptops,SSD 256GB RX7 SATA,Kota Tangerang,370000,5.0,6449,1,"beli 2 SSD, 1 diterima dalam kondisi rusak",beli ssd terima kondisi rusak,Negative,0,Sadness,1
Computers and Laptops,"Usb HUB Vention 4 Port Usb 3.0 2.0 High Speed Power Adapter OTG - CHL 3.0, 0.15m",Jakarta Barat,112000,4.9,14900,1,"tidak berfungsi, tapi yaa sudahlah sudah ditambah daya pakai mikro usb cas hp tetap tidak bisa",fungsi yaa tambah daya pakai mikro usb cas hp,Negative,0,Sadness,1
Computers and Laptops,"Usb HUB Vention 4 Port Usb 3.0 2.0 High Speed Power Adapter OTG - CHL 3.0, 0.15m",Jakarta Barat,112000,4.9,14900,1,kurang bagus... colok hardisk external tdk terdeteksi..,bagus colok hardisk external deteksi,Negative,0,Sadness,1
Computers and Laptops,Mini Keyboard Wireless i8 2.4G Handheld Keyboard For PC Android TV Box,Jakarta Utara,56000,4.8,18300,1,"Produk kurang baik, dan rusak",produk rusak,Negative,0,Sadness,1
Computers and Laptops,"Logitech C920 Webcam PRO Full HD 1080p Autofocus, Noise-Cancelling",Jakarta Timur,1199000,4.9,10900,1,"untuk kualitas ternyata sama dengan merk China lain 1080p juga yang harga nya 300rb an, bahkan lebih bagus merk lain di 600rb an. lalu untuk pengiriman lambat sekali dari official store, pesan tgl 27, sampai tgl 1, sehingga saya tdk sempat menggunakan pada zoom meeting dan harus memakai hp. cukup kecewa dengan produk dan pelayanan Logitech. kalau utk keyboard nya dan mouse nya emang cukup bagus bbrp model nya, tapi sy kapok beli disini karena barang akan hanya di proses bbrp jam sblm pembatalan walaupun pesan nya di hari biasa.",kualitas merk china harga ribu an bagus merk ribu an kirim lambat official store pesan tgl tgl zoom meeting pakai hp kecewa produk layan logitech keyboard mouse bagus bbrp model sy kapok beli barang proses bbrp jam sblm batal pesan,Negative,0,Sadness,1
Computers and Laptops,"Logitech C920 Webcam PRO Full HD 1080p Autofocus, Noise-Cancelling",Jakarta Timur,1199000,4.9,10900,1,"pengiriman 2 hari terlambat. padahal bilang bakal lgsg dikirim. habis order di chat lgsg ga respon. utk official store brand segede logitech, sungguh mengecewakan.",kirim lambat bilang lgsg kirim habis order chat lgsg respons official store brand gede logitech sungguh kecewa,Negative,0,Sadness,1
Computers and Laptops,Rexus Q20 Mouse Wireless Office Silent Click - Hitam,Jakarta Barat,50000,4.9,1790,1,mousenya kurang responsif. jd harus teken agak kuat,mousenya responsif jd teken kuat,Negative,0,Sadness,1
Computers and Laptops,Rexus Q20 Mouse Wireless Office Silent Click - Hitam,Jakarta Barat,50000,4.9,1790,1,baru pake 2 bulan sensornya udah jelek suka kemana2,pakai sensor buruk suka mana,Negative,0,Sadness,1
Computers and Laptops,Logitech M191 Mouse Wireless Full Size - Mid Grey,Jakarta Timur,299000,4.9,9798,1,Sangat kecewa. Baru 4 bulan scroll sudah rusak.,kecewa scroll rusak,Negative,0,Sadness,1
Computers and Laptops,Logitech M191 Mouse Wireless Full Size - Mid Grey,Jakarta Timur,299000,4.9,9798,1,"belom 1 bulan udah gak nyala, baterai udah diganti tetap saja gak nyala. kecewa, udah 2x di kerjain logitech",bom nyala baterai ganti nyala kecewa kerjain logitech,Negative,0,Sadness,1
Computers and Laptops,Charger Adaptor MacBook Pro 2008 2009 2010 2011 2012 Magsafe 1 60W ORI,Jakarta Pusat,230000,4.9,1408,1,"Sangat mengecewakan, barang yg dikirim tidak sesuai konfirmasi, sampai harus bolak-balik 2 kali, saya harus nanggung 6 X ongkos kirim....SANGAT MENGECEWAKAN",kecewa barang kirim sesuai konfirmasi bolak nanggung ongkos kirim kecewa,Negative,0,Anger,4
Computers and Laptops,Adaptor Charger Laptop Asus A455LA A455LD A455LB A455 A455L Original,Jakarta Utara,66000,4.8,2702,1,"Kualitas chargeran jelek bangettt, baru tiga Hari pakai sudah rusakk",kualitas chargeran buruk bangett pakai rusakk,Negative,0,Anger,4
Computers and Laptops,Charger Adaptor Laptop Acer Aspire E14 E5-421 E5-431 E5-471 E5-475G,Jakarta Pusat,55000,4.9,2010,1,"Pelayanan toko jelek, proses barang lambat, di chat tidak menjawab, barang rata-rata",layan toko buruk proses barang lambat chat barang,Negative,0,Anger,4
Computers and Laptops,CoolCold Laptop Vacuum Vacum Cooler Cooling Pad Hisap Panas Notebook,Kota Depok,55000,4.8,13900,1,"Barang Rusak , Ga Guna Sama Sekali ... Parah",barang rusak parah,Negative,0,Anger,4
Computers and Laptops,Logitech MK275 Wireless Keyboard Mouse Combo,Jakarta Timur,200000,4.9,3225,3,"cepet rusak, kadang konek kadang engga",cepet rusak kadang konek kadang engga,Negative,0,Anger,4
Computers and Laptops,Logitech G102 Lightsync Gaming Mouse [FS] - Hitam,Jakarta Pusat,379000,4.9,3185,3,"barang gajelas lama sampai, kotak penyok�",barang gajelas kotak penyok,Negative,0,Anger,4
Computers and Laptops,SanDisk Ultra MicroSD 32GB A1 microSDHC UHS-I micro sd - No Adapter,Jakarta Pusat,75900,4.9,6754,1,"SETELAH DICEK TIDAK UTUH 32GB. KOK BISA YA???!!.. KEMANA SISA 3GB NYA MAS/MBA???KRN LAGI BUTUH, YAUDAHLAH CUKUP TAU BELI DISINI. PERTAMA DAN TERAKHIR BELI DISINI.",cek utuh gb mana sisa gb mas mba butuh yaudahlah tau beli beli,Negative,0,Anger,4
Computers and Laptops,SanDisk Ultra MicroSD 32GB A1 microSDHC UHS-I micro sd - No Adapter,Jakarta Pusat,75900,4.9,6754,1,Pesanan Saya TIDAK SAMPAI KE ALAMAT!!! SAYA MAU UANG SAYA KEMBALI!! SAYA BELUM MENERIMA PESANAN SAYA,pesan alamat uang terima pesan,Negative,0,Anger,4
Computers and Laptops,Thermal Grizzly Kryonaut Thermal Paste 1 Gram cooler ORIGINAL - KEMASAN BARU,Jakarta Selatan,85000,4.9,7834,1,beli kemasan baru di kirim kemasan lama ! BINTANG 1 KON%TL,beli kemas kirim kemas bintang kon tl,Negative,0,Anger,4
Computers and Laptops,Thermal Grizzly Kryonaut Thermal Paste 1 Gram cooler ORIGINAL - KEMASAN BARU,Jakarta Selatan,85000,4.9,7834,1,"ANJING TERNYATA PALSU INI BARANG BANGSAT2 AWAS KETIPU OI, YANG ASLI ADA SEGEL DISTRIBUTOR NYA",anjing palsu barang bangsat awas tipu oi original segel distributor,Negative,0,Anger,4
Computers and Laptops,Thermal Grizzly Kryonaut Thermal Paste 1 Gram cooler ORIGINAL - KEMASAN BARU,Jakarta Selatan,85000,4.9,7834,1,BARANG KW JANGAN BELI DISINI,barang kw beli,Negative,0,Anger,4
Computers and Laptops,Mouse Wireless Komic KM-803 - 1200DPI Nano USB Free Battery - Hijau,Jakarta Utara,90000,4.8,4563,1,buruk,buruk,Negative,0,Anger,4
